file,rows
core_project_seed.csv,73
banking_loan_seed.csv,37
banking_dscrtest_seed.csv,32
banking_liquidityrequirement_seed.csv,19
banking_covenant_occupancy_seed.csv,1
pipeline_undercontract_seed.csv,15
pipeline_commerciallisted_seed.csv,4
pipeline_commercialacreage_seed.csv,8
pipeline_closedproperty_seed.csv,36
contract_log_unstructured_seed.csv,4
raw_banking_dashboard_workbook_banking_dashboard.csv,76
raw_banking_dashboard_workbook_exposure.csv,53
raw_banking_dashboard_workbook_participants.csv,83
raw_banking_dashboard_workbook_contingent_liabilities.csv,37
raw_banking_dashboard_workbook_targeted_banks.csv,187
raw_banking_dashboard_workbook_master_plan.csv,109
raw_portfolio_dashboard_workbook_dashboard.csv,59
raw_portfolio_dashboard_workbook_cashflow.csv,15
raw_portfolio_dashboard_workbook_pref_investor_version.csv,56
raw_portfolio_dashboard_workbook_hud_rate_stress_test.csv,71
raw_portfolio_dashboard_workbook_property_metrics.csv,43
