col,Property Name,col_2,Permanent Financing Close Date,Permanent Financing Value,Permanent Interest Rate,Cash-out at Refi (Project-Level),Cash-out at Refi (Stoa),Cash-out at Refi (Stoa) + 4 mths,Residual Monthly Cash-Flow (Stoa),Pre-Tax Cash-out (Project-Level),Pre-Tax Cash-out (Stoa),Sale Date,Post-Tax Cash-out (Stoa),Projected Sale Price,per Unit Sale Price,Pre-Tax Cash-out (Project-Level)_2,Pre-Tax Cash-out (Stoa)_2,Sale Date_2,Post-Tax Cash-out (Stoa)_2,Projected Sale Price_2,per Unit Sale Price_2,Effective Tax Rate
10,The Waters at Millerville,295,2026-04-30,54255154.7826087,0.0525,4177122.7732756976,0.0,0.0,0.0,26019108.09370752,0.0,2035-12-31,0,62756143.478991576,212732.68975929348,16680807.29,0.0,2026-03-31,0.0,53420593.89,181086.75894915254,#DIV/0!
11,The Waters at Redstone,240,2026-05-31,46085961.23064928,0.0535,0.0,0.0,0.0,0.0,15690853.376665756,9552599.354748866,2026-03-31,Net,45649999.99428121,190208.33330950505,15692340.84,9604503.85,2026-02-28,3674340.7,45650000.24,190208.33433333333,0.6174356575431015
12,The Waters at Settlers Trace,348,2026-06-30,69495324.56298561,0.055,5939602.0423903065,41823.992501271474,213783.6166114345,42989.906027540754,28642866.28504929,25778579.65654436,2036-06-30,0,76299541.08310153,219251.55483649863,22564679.74,13745911.12,2026-05-31,4713803.88,68609011.24,197152.33114942527,0.6570759232437114
14,The Waters at West Village,216,2026-06-30,39521279.83533306,0.055,4479065.582689999,0.0,54780.30685760298,13695.076714400744,15857832.804060563,15064941.163857535,2036-05-31,0,43002386.57612475,199085.1230376146,12488736.63,6821099.73,2026-05-31,1876853.5,37584523.75,174002.4247685185,0.7248459083884411
15,The Waters at Bluebonnet,324,2026-06-30,65516416.89892858,0.055,0.0,0.0,0.0,0.0,25357148.758346993,7516433.307419235,2026-05-31,2829110.325062339,64589154.76762615,199349.24310995726,26355346.25,7990577.11,2026-05-31,3179134.27,65612823.73,202508.71521604937,0.6021395918923808
16,The Waters at Crestview,288,2027-02-28,57586475.08734599,0.055,8780988.576840837,577365.1144546225,737230.2855164609,39966.2927654596,34691927.77264867,32957331.384016234,2037-02-28,0,73060423.5619193,253682.02625666425,26738957.66,16734893.4,2027-01-31,8424734.03,59082875.44,205148.87305555554,0.496576773533556
17,The Heights at Picardy,232,2027-02-28,54752118.02741265,0.055,5298972.488538322,544400.4125020494,679551.8952833787,33787.87069533234,23117127.574921615,21340967.451094944,2037-02-28,0,59110334.39035049,254785.92409633833,21985516.41,15587132.51,2027-01-31,7381866.74,56175598.57,242136.20073275862,0.5264127808457311
18,The Waters at McGowin,252,2027-04-30,59224426.545685925,0.055,12758566.447377406,3868903.3385630306,4017154.8587297075,37062.880041669196,23655631.89154011,20675022.273206055,2037-04-30,0,64332561.24886754,255287.94146376007,28483478.1,20088488.5,2027-03-31,11419093.56,59437285.21,235862.2428968254,0.4315603406398644
19,The Waters at Freeport,226,2027-07-31,61179741.33260963,0.055,8709324.493201405,0.0,0.0,0.0,35300389.56027095,34149226.50948464,2037-07-31,0,74304728.27516933,328781.98351844837,25167032.83,16068571.15,2027-06-30,7292440.74,60218888.06,266455.2569026549,0.5461674425233509
20,The Heights at Waterpointe,240,2028-03-31,59885775.617982656,0.055,12261701.537908018,2252847.631524659,2406090.5544595243,38310.730733716286,30755773.166714903,27210563.632086,2038-03-31,0,70263635.7457436,292765.14894059836,27207187.63,17695676.16,2028-02-29,9267457.18,58970589.43,245710.78929166668,0.4762869134693749
21,The Waters at Promenade,324,2028-03-31,73092295.32001118,0.055,13440085.77549956,0.0,0.0,0.0,29928401.680173323,0.0,2038-03-31,0,80051691.23493397,247073.12109547522,29521846.38,0.0,2028-02-29,0.0,71990539.78,222193.02401234568,#DIV/0!
22,The Flats at Ransley,294,2028-04-30,75204374.38926362,0.0525,16719183.413198002,4646379.758563844,4817304.6836442845,42731.23127011016,30517601.08575764,28381369.009754606,2038-04-30,0,79486473.78785215,270362.15574099374,36802226.38,26452063.84,2028-03-31,15269755.05,73574804.41,250254.43676870747,0.42273861342684554
23,The Heights at Materra,295,2028-09-30,66177609.916859284,0.0525,14341340.605479918,596150.0174528643,751263.3608512251,38778.335849590185,26190115.228169445,23571103.7053525,2038-09-30,0,70713736.05262765,239707.57983941576,29533655.97,14710562.95,2028-08-31,5850557.04,65138374.92,220808.0505762712,0.6022887050695773
24,The Flats at Crosspointe,336,2028-07-31,77070166.93486495,0.0525,18285275.378539115,4153935.198266638,4336975.958759796,45760.190123289474,21648281.6493864,19483453.48444776,2038-07-31,0,73501013.52133259,218753.01643253746,35791629.25,23946270.48,2028-06-30,12931667.71,75823911.8,225666.40416666665,0.45997153415599434
25,The Heights at Inverness,289,2029-01-31,71351397.75100201,0.0525,12481812.543315172,0.0,0.0,0.0,36601317.50091988,0.0,2039-01-31,0,84604541.75710215,292749.2794363396,31803655.48,0.0,2028-12-31,0.0,73356021.16,253827.06283737023,#DIV/0!
