Funding Date,col,Location,Pref Equity Amount,ROC Date,ROC Amount
2021-03-25 00:00:00,The Waters at Manhattan,"Harvey, LA",3389066,2024-03-15 00:00:00,
2021-05-20 00:00:00,The Waters at Ransley,"Pensacola, FL",3934245,#N/A,
2021-10-05 00:00:00,The Waters at Heritage,"Gonzales, LA",3274633,#N/A,
2022-02-16 00:00:00,The Waters at Redstone,"Crestview, FL",2971572.69,#VALUE!,
2022-08-01 00:00:00,The Waters at Settlers Trace,"Lafayette, LA",4436075,#VALUE!,
2023-08-01 00:00:00,The Waters at Crestview,"Crestview, FL",5790770,#VALUE!,
2023-10-01 00:00:00,The Heights at Picardy,"Baton Rouge, LA",3259347,#VALUE!,
,,,27055708.689999998,,
,,,,,
,,,,,
Funding Date,2024,,Pref Equity Amount,ROC Date,ROC Amount
2024-01-31 00:00:00,The Waters at McGowin,"Mobile, AL",-22655,#VALUE!,0
2024-02-29 00:00:00,,,,,0
2024-03-31 00:00:00,,,,,0
2024-04-30 00:00:00,The Waters at Freeport,"Freeport, FL",-22703,#VALUE!,0
2024-05-31 00:00:00,,,,,0
2024-06-30 00:00:00,, ,,,0
2024-07-31 00:00:00,, ,,,0
2024-08-31 00:00:00,, ,,,0
2024-09-30 00:00:00,, ,,,0
2024-10-31 00:00:00,, ,,,0
2024-11-30 00:00:00,, ,,,0
2024-12-31 00:00:00,, ,,,0
,, ,-45358,,0
,,,,,
,,,,,
Funding Date,2025,,Pref Equity Amount,ROC Date,ROC Amount
2025-01-31 00:00:00,, ,,,0
2025-02-28 00:00:00,, ,,,0
2025-03-31 00:00:00,, ,,,0
2025-04-30 00:00:00,, ,,,0
2025-05-31 00:00:00,, ,,,0
2025-06-30 00:00:00,, ,,,0
2025-07-31 00:00:00,, ,,,0
2025-08-31 00:00:00,, ,,,0
2025-09-30 00:00:00,, ,,,0
2025-10-31 00:00:00,2025 Deal,TBD,4500000,2028-11-01 00:00:00,0
2025-11-30 00:00:00,The Waters at Robinwood,"Charlotte, NC",-22995.5,#VALUE!,0
2025-12-31 00:00:00,, ,,,0
,,,4477004.5,,0
,,,,,
,,,,,
Funding Date,2026,,Pref Equity Amount,ROC Date,ROC Amount
2026-01-31 00:00:00,2026 Deal,,4500000,2029-01-01 00:00:00,0
2026-02-28 00:00:00,,,,,0
2026-03-31 00:00:00,2026 Deal,,4500000,2029-04-01 00:00:00,0
2026-04-30 00:00:00,,,,,0
2026-05-31 00:00:00,2026 Deal,,4500000,2029-05-01 00:00:00,0
2026-06-30 00:00:00,,,,,0
2026-07-31 00:00:00,2026 Deal,,4500000,2029-08-01 00:00:00,0
2026-08-31 00:00:00,,,,,0
2026-09-30 00:00:00,2026 Deal,,4500000,2029-10-01 00:00:00,0
2026-10-31 00:00:00,,,,,0
2026-11-30 00:00:00,2026 Deal,,4500000,2029-11-01 00:00:00,0
2026-12-31 00:00:00,,,,,0
,,,27000000,,0
